SNI 2007;;
;;
Avdelning;Benämning ;Huvudgrupp(Tvåsiffer)
A;Jordbruk, skogsbruk och fiske;01-03
B;Utvinning av mineral;05-09
C;Tillverkning;10-33
D;Försörjning av el, gas, värme och kyla;35
E;"Vattenförsörjning; avloppsrening, avfallshantering och sanering";36-39
F;Byggverksamhet;41-43
G;"Handel; reparation av motorfordon och motorcyklar";45-47
H;Transport och magasinering;49-53
I;Hotell- och restaurangverksamhet;55-56
J;Informations- och kommunikationsverksamhet;58-63
K;Finans- och försäkringsverksamhet;64-66
L;Fastighetsverksamhet;68
M;Verksamhet inom juridik, ekonomi, vetenskap och teknik;69-75
N;Uthyrning, fastighetsservice, resetjänster och andra stödtjänster;77-82
O;"Offentlig förvaltning och försvar; obligatorisk socialförsäkring";84
P;Utbildning;85
Q;"Vård och omsorg; sociala tjänster";86-88
R;Kultur, nöje och fritid;90-93
S;Annan serviceverksamhet;94-96
T;"Förvärvsarbete i hushåll; hushållens produktion av diverse varor och tjänster för eget bruk";97-98
U;Verksamhet vid internationella organisationer, utländska ambassader o.d.;99
